"T_004.SPC"
"WL/nm","Abs"
536.50,0.962
536.00,0.961
535.50,0.959
535.00,0.958
534.50,0.956
534.00,0.954
533.50,0.952
533.00,0.950
532.50,0.948
532.00,0.946
531.50,0.944
531.00,0.942
530.50,0.940
530.00,0.938
529.50,0.936
529.00,0.933
528.50,0.931
528.00,0.929
527.50,0.926
527.00,0.924
526.50,0.921
526.00,0.919
525.50,0.917
525.00,0.914
524.50,0.911
524.00,0.908
523.50,0.906
523.00,0.903
522.50,0.900
522.00,0.897
521.50,0.894
521.00,0.891
520.50,0.888
520.00,0.885
519.50,0.881
519.00,0.878
518.50,0.875
518.00,0.871
517.50,0.868
517.00,0.864
516.50,0.861
516.00,0.857
515.50,0.854
515.00,0.850
514.50,0.847
514.00,0.843
513.50,0.839
513.00,0.835
512.50,0.831
512.00,0.827
511.50,0.824
511.00,0.820
510.50,0.816
510.00,0.812
509.50,0.808
509.00,0.804
508.50,0.800
508.00,0.796
507.50,0.792
507.00,0.788
506.50,0.784
506.00,0.780
505.50,0.776
505.00,0.772
504.50,0.769
504.00,0.765
503.50,0.762
503.00,0.758
502.50,0.754
502.00,0.751
501.50,0.747
501.00,0.744
500.50,0.740
500.00,0.737
499.50,0.733
499.00,0.730
498.50,0.727
498.00,0.724
497.50,0.721
497.00,0.718
496.50,0.715
496.00,0.712
495.50,0.710
495.00,0.707
494.50,0.705
494.00,0.702
493.50,0.700
493.00,0.697
492.50,0.695
492.00,0.693
491.50,0.691
491.00,0.689
490.50,0.687
490.00,0.685
489.50,0.684
489.00,0.682
488.50,0.681
488.00,0.679
487.50,0.678
487.00,0.677
486.50,0.676
486.00,0.675
485.50,0.674
485.00,0.673
484.50,0.672
484.00,0.671
483.50,0.670
483.00,0.670
482.50,0.669
482.00,0.668
481.50,0.668
481.00,0.668
480.50,0.667
480.00,0.667
479.50,0.667
479.00,0.667
478.50,0.667
478.00,0.666
477.50,0.666
477.00,0.666
476.50,0.666
476.00,0.667
475.50,0.667
475.00,0.667
474.50,0.667
474.00,0.667
473.50,0.668
473.00,0.668
472.50,0.668
472.00,0.668
471.50,0.669
471.00,0.669
470.50,0.670
470.00,0.670
469.50,0.670
469.00,0.671
468.50,0.672
468.00,0.672
467.50,0.672
467.00,0.673
466.50,0.674
466.00,0.674
465.50,0.675
465.00,0.675
464.50,0.676
464.00,0.677
463.50,0.677
463.00,0.678
462.50,0.679
462.00,0.679
461.50,0.680
461.00,0.681
460.50,0.681
460.00,0.682
459.50,0.683
459.00,0.683
458.50,0.684
458.00,0.685
457.50,0.686
457.00,0.686
456.50,0.687
456.00,0.688
455.50,0.689
455.00,0.689
454.50,0.690
454.00,0.691
453.50,0.692
453.00,0.693
452.50,0.693
452.00,0.694
451.50,0.695
451.00,0.696
450.50,0.697
450.00,0.698
449.50,0.698
449.00,0.699
448.50,0.700
448.00,0.701
447.50,0.702
447.00,0.703
446.50,0.703
446.00,0.704
445.50,0.705
445.00,0.706
444.50,0.707
444.00,0.708
443.50,0.709
443.00,0.710
442.50,0.711
442.00,0.712
441.50,0.712
441.00,0.713
440.50,0.714
440.00,0.715
439.50,0.716
439.00,0.717
438.50,0.718
438.00,0.719
437.50,0.720
437.00,0.721
436.50,0.722
436.00,0.723
435.50,0.723
435.00,0.724
434.50,0.725
434.00,0.726
433.50,0.727
433.00,0.728
432.50,0.729
432.00,0.730
431.50,0.731
431.00,0.732
430.50,0.732
430.00,0.733
429.50,0.734
429.00,0.735
428.50,0.736
428.00,0.737
427.50,0.738
427.00,0.738
426.50,0.739
426.00,0.740
425.50,0.741
425.00,0.742
424.50,0.743
424.00,0.743
423.50,0.744
423.00,0.745
422.50,0.746
422.00,0.747
421.50,0.748
421.00,0.749
420.50,0.750
420.00,0.750
419.50,0.751
419.00,0.752
418.50,0.753
418.00,0.754
417.50,0.755
417.00,0.756
416.50,0.757
416.00,0.758
415.50,0.758
415.00,0.759
414.50,0.760
414.00,0.761
413.50,0.762
413.00,0.763
412.50,0.764
412.00,0.765
411.50,0.766
411.00,0.767
410.50,0.767
410.00,0.768
409.50,0.769
409.00,0.770
408.50,0.771
408.00,0.772
407.50,0.773
407.00,0.774
406.50,0.774
406.00,0.775
405.50,0.776
405.00,0.777
404.50,0.778
404.00,0.779
403.50,0.780
403.00,0.781
402.50,0.782
402.00,0.782
401.50,0.783
401.00,0.784
400.50,0.785
400.00,0.786
399.50,0.787
399.00,0.787
398.50,0.788
398.00,0.789
397.50,0.790
397.00,0.791
396.50,0.792
396.00,0.792
395.50,0.793
395.00,0.794
394.50,0.795
394.00,0.796
393.50,0.796
393.00,0.797
392.50,0.798
392.00,0.799
391.50,0.800
391.00,0.800
390.50,0.801
390.00,0.802
389.50,0.803
389.00,0.804
388.50,0.804
388.00,0.805
387.50,0.806
387.00,0.807
386.50,0.807
386.00,0.808
385.50,0.809
385.00,0.809
384.50,0.810
384.00,0.811
383.50,0.811
383.00,0.812
382.50,0.813
382.00,0.813
381.50,0.814
381.00,0.815
380.50,0.815
380.00,0.816
379.50,0.816
379.00,0.817
378.50,0.818
378.00,0.818
377.50,0.819
377.00,0.819
376.50,0.820
376.00,0.820
375.50,0.820
375.00,0.821
374.50,0.822
374.00,0.822
373.50,0.823
373.00,0.823
372.50,0.823
372.00,0.824
371.50,0.824
371.00,0.825
370.50,0.825
370.00,0.825
369.50,0.826
369.00,0.826
368.50,0.827
368.00,0.827
367.50,0.827
367.00,0.827
366.50,0.827
366.00,0.828
365.50,0.829
365.00,0.828
364.50,0.829
364.00,0.830
363.50,0.830
363.00,0.829
362.50,0.830
362.00,0.830
361.50,0.830
361.00,0.830
360.50,0.830
360.00,0.831
359.50,0.831
359.00,0.831
358.50,0.832
358.00,0.831
357.50,0.831
357.00,0.832
356.50,0.832
356.00,0.831
355.50,0.831
355.00,0.832
354.50,0.832
354.00,0.833
353.50,0.832
353.00,0.833
352.50,0.833
352.00,0.835
351.50,0.835
351.00,0.835
350.50,0.836
350.00,0.836
349.50,0.837
349.00,0.838
348.50,0.839
348.00,0.840
347.50,0.841
347.00,0.843
346.50,0.844
346.00,0.845
345.50,0.847
345.00,0.848
344.50,0.849
344.00,0.851
343.50,0.852
343.00,0.854
342.50,0.856
342.00,0.858
341.50,0.860
341.00,0.861
340.50,0.863
340.00,0.866
339.50,0.867
339.00,0.870
338.50,0.871
338.00,0.873
337.50,0.875
337.00,0.878
336.50,0.880
336.00,0.881
335.50,0.884
335.00,0.885
334.50,0.889
334.00,0.890
333.50,0.893
333.00,0.894
332.50,0.897
332.00,0.899
331.50,0.902
331.00,0.904
330.50,0.906
330.00,0.908
329.50,0.910
329.00,0.912
328.50,0.914
328.00,0.917
327.50,0.920
327.00,0.921
326.50,0.924
326.00,0.926
325.50,0.927
325.00,0.929
324.50,0.933
324.00,0.933
323.50,0.936
323.00,0.939
322.50,0.940
322.00,0.944
321.50,0.945
321.00,0.946
320.50,0.950
320.00,0.952
319.50,0.954
319.00,0.957
318.50,0.958
318.00,0.960
317.50,0.962
317.00,0.964
316.50,0.966
316.00,0.968
315.50,0.971
315.00,0.972
314.50,0.974
314.00,0.976
313.50,0.978
313.00,0.980
312.50,0.981
312.00,0.985
311.50,0.985
311.00,0.988
310.50,0.989
310.00,0.992
309.50,0.995
309.00,0.996
308.50,0.997
308.00,0.999
307.50,1.001
307.00,1.002
306.50,1.004
306.00,1.006
305.50,1.008
305.00,1.009
304.50,1.011
304.00,1.013
303.50,1.014
303.00,1.015
302.50,1.017
302.00,1.019
301.50,1.021
301.00,1.021
300.50,1.024
300.00,1.026
